,"Note: You can directly modify the content of ""MSA"", but not ""English"" and ""Darija"". 
If the original ""Darija"" is indeed wrong, please provide the correction in the ""Darija_arabic correction"" column. 
For other remarks, please leave a comment in the ""Observations"" column.",,,,,,,,,,,,,,
9409,He is gambling again,kay9emmer 3awtani,كايقمّر عاوتاني,إنه يقامر مرة أخرى,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9410,You need to stop gambling,kheSSek t7bes l 9mer,خصّك تحبس ل قمر,عليك أن تتوقف عن القمار,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9411,Have you been spying on me?,wach kenti katjesses 3liya?,واش كنتي كاتجسّس علييا?,هل كنت تتجسس عليّ؟,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9412,I saw you spying on him,chftek katjesses 3li8,شفتك كاتجسّس عليه,رأيتك تتجسس عليه,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9413,Who were you spying on?,3lamen kenti katjesses?,علامن كنتي كاتجسّس?,على من كنت تتجسس؟,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9414,He was pissed off and cursing,kan m3eSSeb o kayseb,كان معصّب أُ كايسب,كان غاضبًا ويسب,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9415,He was cursing and shouting,kan kay3ayer o kayghewwet,كان كايعاير أُ كايغوّت,كان يسب ويصرخ,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9416,His arrogance knew no limits,lghoror dyalo ma3ndouch 7oudoud,لغورور ديالو ماعندوش حودود,كانت غروره لا تعرف حدودًا,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9417,I dislike him for his arrogance,makay3jebnich b lghoror li fi8,ماكايعجبنيش ب لغورور لي فيه,أنا لا أحبه بسبب غروره,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9418,You are an open book,nta kitab meftou7,نتا كيتاب مفتوح,أنت كتاب مفتوح,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9419,You wear your heart on your sleeve,lli f 9elbek 3la lsanek,اللي ف قلبك علا لسانك,أنت تضع قلبك على كمك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9420,I am up to ears,ana ghare9 7etta l wednin,أنا غارق حتّا ل ودنين,أنا غارق حتى أذني,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9421,I have a lot on my plate,3endi chlla mandir,عندي شلّا ماندير,لدي الكثير على طبقي,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9422,Never give up,ma3emrek tstaslem,ماعمرك تستاسلم,لا تستسلم أبدًا,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9423,Do it your way,dir8a kimma bghiti,ديرها كيمّا بغيتي,اعملها بطريقتك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9424,Do whatever you want,dir lli bghiti,دير اللي بغيتي,افعل ما تشاء,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9425,Whatever floats your boat,dir li 3jbek,دير لي عجبك,مهما يرضيك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9426,Suit yourself,lli ban lik,اللي بان ليك,كما تحب,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9427,Suit yourself,lli mnasbek,اللي مناسبك,كما تحب,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9428,Fair enough,yyih 3ndek SSe7,الييه عندك الصح,معقول,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9429,Things will get better,daba tzyan,دابا تزيان,ستتحسن الأمور,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9430,Things will work out in the end,koulchi ghadi yt9ad f llekher,كولشي غادي يتقاد ف اللخر,ستتحسن الأمور في النهاية,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9431,This storm will pass,8ad l2azma ghadi douz,هاد لأزما غادي دوز,سوف تمر هذه العاصفة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9432,Keep it a secret,khlli8a binatna,خلّيها بيناتنا,احتفظ بها سراً,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9433,Don't spill the beans,matgoul walou,ماتڭول والو,لا تفشي الأسرار,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9434,I am beat,ana tghlebt,أنا تغلبت,أنا مرهق,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9435,I am tired to the bone,ana waSla fiyya l3Dem,أنا واصلا فييّا لعضم,أنا متعب إلى العظم,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9436,I am spent,ana tsalit,أنا تساليت,أنا منهك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9437,I am spent,ana T9adit,أنا طقاديت,أنا منهك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9438,I am floating on air,ana kanTir bel fer7a,أنا كانطير بل فرحا,أنا أطفو في الهواء,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9439,He took a sip of tea,khda jeghma dyal atay,خدا جغما ديال أتاي,اخذ رشفة من الشاي,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9440,I like the taste of garlic,kay3jebni lmada9 dyal ttouma,كايعجبني لماداق ديال التوما,أحب طعم الثوم,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9441,I like to taste new things,kay3jebni ndou9 7wayej jdad,كايعجبني ندوق حوايج جداد,أحب تجربة أشياء جديدة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9442,This meat is difficult to chew,8ad ll7em S3ib f lmDigh,هاد اللحم صعيب ف لمضيغ,هذا اللحم صعب المضغ,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9443,This meat is difficult to chew,8ad ll7em S3ib yttemdegh,هاد اللحم صعيب يتّمدغ,هذا اللحم صعب المضغ,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9444,Chew your food well,mdegh makeltek mzyan,مدغ ماكلتك مزيان,امضغ طعامك جيدًا,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9445,I chew gum,kanmdegh lmeska,كانمدغ لمسكا,أنا أمضغ العلكة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9446,Don't forget to chew,matensach temdegh,ماتنساش تمدغ,لا تنسى المضغ,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9447,Swallow it,serTo,سرطو,ابلعها,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9448,Don't chew it,matmedghoch,ماتمدغوش,لا تمضغه,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9449,It's hard for me to chew,s3ib 3liyya nmdegh,سعيب علييّا نمدغ,من الصعب عليّ المضغ,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9450,He bit the apple,8owwa 3eD f tteffa7a,هووّا عض ف التفّاحا,لدغ الثمرة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9451,I won't bite,makan3eDch,ماكانعضش,لن أعض,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9452,Does your dog bite?,wach lkelb dyalk kay3eD?,واش لكلب ديالك كايعض?,هل يعض كلبك؟,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9453,He took out a loan,khda kridi,خدا كريدي,اقترض قرضًا,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9454,He took out a loan,khda 9erD,خدا قرض,اقترض قرضًا,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9455,I asked the bank for a loan,tlebt kridi mn lbanka,تلبت كريدي من لبانكا,طلبت قرضًا من البنك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9456,I donated blood,tberre3t bddem,تبرّعت بدّم,تبرعت بالدم,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9457,He didn't pay the debt,makhellSch ddin,ماخلّصش الدين,لم يدفع الدين,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9458,No one enjoys paying taxes,7tta wa7ed makay3jbo ykhelleS DDara2ib,حتّا واحد ماكايعجبو يخلّص الضاراإب,لا أحد يستمتع بدفع الضرائب,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9459,Taxes will rise,dDara2ib ghadi ytzadou,دضاراإب غادي يتزادو,سوف ترتفع الضرائب,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9460,He refused the bribe,ma9belch b rrechwa,ماقبلش ب الرشوا,رفض الرشوة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9461,Bribe,flous te7t TTebla,فلوس تحت الطبلا,رشوة,TRUE,SODJI Sourou Alfrèd,,رشوة,FALSE,Yousef,,,,,
9462,he inherited a fortune,wret terwa,ورت تروا,ورث ثروة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9463,After divorce you are forced to pay alimony,men be3d Tla9 bzzez mnnek tkhleS nnafa9a,من بعد طلاق بزّز منّك تخلص النافاقا,بعد الطلاق، أنت مجبر على دفع النفقة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9464,I set aside a good dowry for her,khlit li8a Sda9 m8ewwer,خليت ليها صداق مهوّر,خصصت مهراً جيداً لها,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9465,Don't worry your head about it,mat3emmerch rasek b 8adchi,ماتعمّرش راسك ب هادشي,لا تقلق بشأنه,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9466,Take it easy,rkhef 3la rasek,رخف علا راسك,خذ الأمور ببساطة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9467,I can't help it,ma3ndi mandir,ماعندي ماندير,لا أستطيع أن أمنع ذلك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9468,Don't play dumb,blama ttbou8el 3liyya,بلاما التبوهل علييّا,لا تتظاهر بالغباء,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9469,I've got feelings for you,kan7es bchi7ja mn ji8tek,كانحس بشيحجا من جيهتك,لدي مشاعر تجاهك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9470,I am crazy about you,kan7ma9 3lik,كانحماق عليك,أنا مجنون بك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9471,You complete me,nta katkemelni,نتا كاتكملني,أنت تكملني,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9472,What are you implying?,lach katlemme7?,لاش كاتلمّح?,ماذا تلمح؟,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9473,Drop the subject,bddel lmawDo3,بدّل لماوضوع,اترك الموضوع,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9474,What a nerve!,2ach 8ad lwa9a7a,أش هاد لواقاحا,يا لها من وقاحة!,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9475,We are even,t3adelna,تعادلنا,نحن على قدم المساواة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9476,You bet,tab3an,تابعان,بالتأكيد,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9477,I'm all ears,kansm3 lik,كانسمع ليك,أنا كلي أذان,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9478,I'm off,ana ghadi f7ali,أنا غادي فحالي,أنا ذاهب,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9479,Same here,7tta ana,حتّا أنا,أنا كذلك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9480,I lost my cool,t9ada li SSber,تقادا لي الصبر,فقدت أعصابي,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9481,They are dating,mSa7bin,مصاحبين,إنهم يتواعدون,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9482,He is a widower,8owwa 2armal,هووّا أرمال,هو أرمل,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9483,What is your social status?,chnou 8iyya l7ala l2ijtima3iyya dyalk?,شنو هييّا لحالا لإجتيماعييّا ديالك?,ما هو وضعك الاجتماعي؟,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9484,He is an orphan,8owwa yatim,هووّا ياتيم,هو يتيم,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9485,You don't say!,matgoul8ach,ماتڭولهاش,ألا تقول!,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9486,I don't eat lemons,makannakolch l7ameD,ماكانّاكولش لحامض,أنا لا آكل الليمون,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9487,Hang on!,sber,سبر,انتظر!,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9488,Chill out!,berred,برّد,اهدأ!,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9489,Don't sweat it!,matkhemmemch,ماتخمّمش,لا تقلق!,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9490,This is the oldest church,8adi 2a9dam kanisa,هادي أقدام كانيسا,هذه أقدم كنيسة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9491,He goes to church on Sundays,kaymchi lkanisa n8ar l7ed,كايمشي لكانيسا نهار لحد,يذهب إلى الكنيسة يوم الأحد,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9492,You are an angel,nta malak,نتا مالاك,أنت ملاك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9493,You saved my life,n9edti 7yati,نقدتي حياتي,لقد أنقذت حياتي,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9494,He is not an angel,8owwa machi malak,هووّا ماشي مالاك,ليس هو ملاك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9495,He sings like an angel,katghenni b7al chi malak,كاتغنّي بحال شي مالاك,يغني كالملاك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9496,You are my angel,nta lmalak dyali,نتا لمالاك ديالي,أنت ملاكي,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9497,You are such a devil,nta wa7ed chchiTan,نتا واحد الشيطان,أنت شيطان حقاً,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9498,He played like a demon,kayl3eb b7al chi 3frit,كايلعب بحال شي عفريت,لعب كالشيطان,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9499,The adhan is a call to prayer,l2adan 8owwa nida2 L SSalat,لأدان هووّا نيداء ل الصالات,الأذان هو نداء للصلاة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9500,I am reading the holy Quran,ana kan9ra l9or2an lkarim,أنا كانقرا لقورأن لكاريم,أنا أقرأ القرآن الكريم,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9501,Do you have a Bible?,wach 3ndek l2injil?,واش عندك لإنجيل?,هل لديك إنجيل؟,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9502,The cross is the symbol of Christianity,sSalib ramz dyal lmasi7iyya,سصاليب رامز ديال لماسيحييّا,الصليب هو رمز المسيحية,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9503,I am an Imam,ana 2imam,أنا إمام,أنا إمام,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9504,I am a priest,ana 9issis,أنا قيسّيس,أنا كاهن,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9505,I am not a prophet,ana machi rasoul,أنا ماشي راسول,أنا لست نبيًا,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9506,I believe in all prophets,kan2amen b ga3 rrosol,كانأمن ب ڭاع الروسول,أنا أؤمن بجميع الأنبياء,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9507,Worship God everyday,3bed lla8 kol n8ar,عبد اللاه كول نهار,اعبد الله كل يوم,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9508,They all worship the same God,koul8oum kay3ebdou nefs l2ila8,كولهوم كايعبدو نفس لإلاه,يعبدون جميعًا نفس الإله,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9509,He rejected Christianity,8owwa mab9ach masi7i,هووّا مابقاش ماسيحي,رفض المسيحية,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9510,He became a Buddhist,wlla boudi,ولّا بودي,أصبح بوذيًا,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9511,It is an ancient Buddhist temple,8ada ma3bed 9dim dyal lboudiyya,هادا ماعبد قديم ديال لبودييّا,إنه معبد بوذي قديم,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9512,Where there is love there is faith,finmma kayn l7ob kayn l 2iman,فينمّا كاين لحوب كاين ل إمان,حيث يوجد الحب يوجد الإيمان,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9513,I have faith in God,3endi 2iman b lla8,عندي إمان ب اللاه,أنا أؤمن بالله,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9514,Happy birthday,3id milad sa3id,عيد ميلاد ساعيد,عيد ميلاد سعيد,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9515,When is your birthday?,fo9ach 3id miladek?,فوقاش عيد ميلادك?,متى عيد ميلادك؟,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9516,It's a surprise,8adi moufaja2a,هادي موفاجاأ,إنها مفاجأة,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9517,let's celebrate your birthday,yalla8 n7taflou b 3id miladek,يالّاه نحتافلو ب عيد ميلادك,لنحتفل بعيد ميلادك,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9518,He received a gift,wSlatou 8adiyya,وصلاتو هادييّا,تلقى هدية,TRUE,SODJI Sourou Alfrèd,,وصلاو كادو ,FALSE,Yousef,,,,,
9519,He received a gift,ja8 kado,جاه كادو,تلقى هدية,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9520,Thank you for the gift,chokran 3la lkado,شوكران علا لكادو,شكراً على الهدية,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9521,I want to buy him a gift,bghit nchri li8 kado,بغيت نشري ليه كادو,أريد أن أشتري له هدية,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9522,It's a gift for my brother,8ada kado dyal khoya,هادا كادو ديال خويا,إنها هدية لأخي,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9523,I bought this gift today,chrit 8ad lkado lyoum,شريت هاد لكادو ليوم,اشتريت هذا الهدية اليوم,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9524,I want the gift wrapped,bghit lkado ytghllef,بغيت لكادو يتغلّف,أريد تغليف الهدية,TRUE,SODJI Sourou Alfrèd,,بغيت نتغلّف لكادو,FALSE,Yousef,,,,,
9525,What did you get for your birthday?,chnou jak f3id miladek?,شنو جاك فعيد ميلادك?,ماذا حصلت في عيد ميلادك؟,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9526,I forgot about his birthday,nsit 3id miladou,نسيت عيد ميلادو,نسيت عيد ميلاده,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9527,I'm making a juice,ana kanSayb 3aSir,أنا كانصايب عاصير,أنا أصنع عصيرًا,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9528,He puffed up the balloon,8owwa nfekh neffakha,هووّا نفخ نفّاخا,نفخ البالون,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9529,He popped the balloon,8owwa TerTe9 neffakha,هووّا طرطق نفّاخا,فجّر البالون,TRUE,SODJI Sourou Alfrèd,,,,,,,,,
9530,Can you blow up this balloon?,wach t9der TTerTe9 8ad nneffakha?,واش تقدر الطرطق هاد النفّاخا?,هل يمكنك تفجير هذا البالون؟,TRUE,SOUFIANE MEHDI,,,,,,,,,
9531,The clown tickled the kids,l kloun kay8err ddrari SSghar,ل كلون كايهرّ الدراري الصغار,المهرج دغدغ الأطفال,TRUE,SOUFIANE MEHDI,,ل كلون هرّ الدراري الصغار,FALSE,Yousef,,,,,
9532,This clown looks funny,8ad l kloun kayDe77ek,هاد ل كلون كايضحّك,هذا المهرج يبدو مضحكًا,TRUE,SOUFIANE MEHDI,,هاد ل كلون كيبان كايضحّك,FALSE,Yousef,,,,,
9533,You are a clown,nta kloun,نتا كلون,أنت مهرج,TRUE,SOUFIANE MEHDI,,,,,,,,,
9534,I like horror movies,kay3jbouni 2aflam rro3b,كايعجبوني أفلام الروعب,أنا أحب أفلام الرعب,TRUE,SOUFIANE MEHDI,,,,,,,,,
9535,I like watching romantic movies,kay3jbni ntferrej f l 2aflam rromansiyya,كايعجبني نتفرّج ف ل أفلام الرومانسييّا,أحب مشاهدة الأفلام الرومانسية,TRUE,SOUFIANE MEHDI,,,,,,,,,
9536,I like comedy movies,kay3jbouni l 2aflam lkoumidiyya,كايعجبوني ل أفلام لكوميدييّا,أنا أحب أفلام الكوميديا,TRUE,SOUFIANE MEHDI,,,,,,,,,
9537,I like drama movies,kay3jbouni l 2aflam ddramiyya,كايعجبوني ل أفلام الدرامييّا,أنا أحب أفلام الدراما,TRUE,SOUFIANE MEHDI,,,,,,,,,
9538,I am in the mood for a documentary movie,tche88it ntferrej f film wata2i9i,تشهّيت نتفرّج ف فيلم واتاإقي,أنا في مزاج لمشاهدة فيلم وثائقي,TRUE,SOUFIANE MEHDI,,,,,,,,,
9539,Bring pop corn with you,jib m3ak lgliyya,جيب معاك لڭلييّا,ائتِ بالفشار معك,TRUE,SOUFIANE MEHDI,,,,,,,,,
9540,Bring popcorn with you,jib m3ak ddra,جيب معاك الدرا,ائتِ بالفشار معك,TRUE,SOUFIANE MEHDI,,جيب معاك الدّرا,FALSE,Yousef,,,,,
9541,I like opera,kat3jebni l opera,كاتعجبني ل أُپرا,أنا أحب الأوبرا,TRUE,SOUFIANE MEHDI,,كاتعجبني ل أُپرا,FALSE,Yousef,,,,,
9542,I like classical music,kat3jbni lmousi9a lklasikiyya,كاتعجبني لموسيقا لكلاسيكييّا,أنا أحب الموسيقى الكلاسيكية,TRUE,SOUFIANE MEHDI,,,,,,,,,
9543,I'm a big fan of Kpop,ana mou3jab kbir b lki pop,أنا موعجاب كبير ب لكي پوپ,أنا معجب كبير بالكيبوب,TRUE,SOUFIANE MEHDI,,,,,,,,,
9544,I want to dance whenever I hear Moroccan music,kanbghi nchTe7 we9tma sme3t chche3bi,كانبغي نشطح وقتما سمعت الشعبي,أريد أن أرقص كلما أسمع الموسيقى المغربية,TRUE,SOUFIANE MEHDI,,,,,,,,,
